Study,Study_ID,BrainBankNetworkID,Brain region,Sample_Name,data_type,Enrichment
TREM2,IGFQ001404,BBN_24308,MTG,BBN_24308_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.26332,SSC,BBN003_26332_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7545,EC,BBN_7545_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_24279,EC,BBN_24279_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7545,SSC,BBN_7545_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7115,SSC,BBN_7115_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7617,EC,BBN_7617_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_18791,EC,BBN_18791_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_15755,SSC,BBN_15755_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_15304,MTG,BBN_15304_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7333,SSC,BBN_7333_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32205,SSC,BBN003_32205_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32212,EC,BBN003_32212_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32185,EC,BBN003_32185_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7404,MTG,BBN_7404_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_8051,MTG,BBN_8051_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.35519,EC,BBN003_35519_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32201,EC,BBN003_32201_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.26333,MTG,BBN003_26333_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32209,EC,BBN003_32209_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7617,SSC,BBN_7617_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7115,MTG,BBN_7115_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9601,SSC,BBN_9601_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32235,EC,BBN003_32235_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_6122,EC,BBN_6122_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.35519,MTG,BBN003_35519_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_4250,MTG,BBN_4250_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.26333,EC,BBN003_26333_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32201,SSC,BBN003_32201_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.26951,EC,BBN003_26951_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7403,SSC,BBN_7403_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_18791,SSC,BBN_18791_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9727,MTG,BBN_9727_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_14795,EC,BBN_14795_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_19214,MTG,BBN_19214_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.28342,EC,BBN003_28342_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32235,SSC,BBN003_32235_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9601,EC,BBN_9601_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_15201,EC,BBN_15201_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9980,EC,BBN_9980_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9786,EC,BBN_9786_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9944,SSC,BBN_9944_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.35446,SSC,BBN003_35446_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.29735,MTG,BBN003_29735_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_15304,EC,BBN_15304_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_4186,MTG,BBN_4186_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_24610,EC,BBN_24610_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.35519,SSC,BBN003_35519_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.35446,MTG,BBN003_35446_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9953,EC,BBN_9953_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.33729,EC,BBN003_33729_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9779,EC,BBN_9779_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7554,EC,BBN_7554_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404, BBN_11066,MTG,BBN_11066_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_24330,EC,BBN_24330_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9760,EC,BBN_9760_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32184,EC,BBN003_32184_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.26951,SSC,BBN003_26951_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_24279,SSC,BBN_24279_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.34161,MTG,BBN003_34161_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32247,EC,BBN003_32247_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9980,EC,BBN_9980_EC_S2,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.29735,EC,BBN003_29735_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32261,MTG,BBN003_32261_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9714,MTG,BBN_9714_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_4250,EC,BBN_4250_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.26951,MTG,BBN003_26951_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_15304,SSC,BBN_15304_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.29735,SSC,BBN003_29735_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32211,EC,BBN003_32211_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404, BBN_5650,MTG,BBN_5650_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN002.29170,MTG,BBN002_29170_MTG_S3,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9980,SSC,BBN_9980_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7115,EC,BBN_7115_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_4186,SSC,BBN_4186_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9714,EC,BBN_9714_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7554,SSC,BBN_7554_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_2625,EC,BBN_2625_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32181,EC,BBN003_32181_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_11727,MTG,BBN_11727_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404, BBN004.29074,MTG,BBN004_29074_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32261,MTG,BBN003_32261_MTG_S3,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.35390,SSC,BBN003_35390_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32849,SSC,BBN003_32849_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_6122,MTG,BBN_6122_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_15196,SSC,BBN_15196_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404, BBN_11055,MTG,BBN_11055_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404, BBN_24659,MTG,BBN_24659_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_24308,SSC,BBN_24308_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7555,SSC,BBN_7555_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_13802,EC,BBN_13802_EC_S2,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32194,EC,BBN003_32194_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.26941,EC,BBN003_26941_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_24279,MTG,BBN_24279_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_15196,MTG,BBN_15196_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9714,MTG,BBN_9714_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_2625,MTG,BBN_2625_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_24308,EC,BBN_24308_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.26332,MTG,BBN003_26332_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32295,SSC,BBN003_32295_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN005.29520,EC,BBN005_29520_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9796,EC,BBN_9796_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32205,EC,BBN003_32205_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7555,SSC,BBN_7555_SSC_S2,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9601,MTG,BBN_9601_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_15196,EC,BBN_15196_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32228,SSC,BBN003_32228_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9760,SSC,BBN_9760_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9944,EC,BBN_9944_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9760,MTG,BBN_9760_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7404,EC,BBN_7404_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32228,EC,BBN003_32228_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_4186,EC,BBN_4186_EC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9944,MTG,BBN_9944_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7554,MTG,BBN_7554_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_7540,SSC,BBN_7540_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.33729,SSC,BBN003_33729_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.32196,SSC,BBN003_32196_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN003.26941,SSC,BBN003_26941_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001404,BBN_9727,SSC,BBN_9727_SSC_S2,bulkRNAseq,N/A
TREM2,IGFQ001462,BBN_9984,PFC,BBN_9984_PFC_S1,bulkRNAseq,N/A
TREM2,IGFQ001462,BBN_9984,MTG,BBN_9984_MTG_S3,bulkRNAseq,N/A
TREM2,IGFQ001462,BBN_9980,MTG,BBN_9980_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001462,BBN_9980,PFC,BBN_9980_PFC_S1,bulkRNAseq,N/A
TREM2,IGFQ001500,BBN003.32185,SSC,BBN003_32185_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN003.32185,SSC,BBN003_32185_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN003.34161,MTG,BBN003_34161_MTG_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN003.34161,MTG,BBN003_34161_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN003.32295,SSC,BBN003_32295_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN003.32295,SSC,BBN003_32295_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN003.28342,MTG,BBN003_28342_MTG_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN003.28342,MTG,BBN003_28342_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN_7403,MTG,BBN_7403_MTG_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN_7403,MTG,BBN_7403_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN003.26941,SSC,BBN003_26941_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN003.26941,SSC,BBN003_26941_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN003.32228,SSC,BBN003_32228_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN003.32228,SSC,BBN003_32228_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN_24279,MTG,BBN_24279_MTG_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN_24279,MTG,BBN_24279_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN_7545,SSC,BBN_7545_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN_7545,SSC,BBN_7545_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN003.32196,SSC,BBN003_32196_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN003.32196,SSC,BBN003_32196_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN_7404,MTG,BBN_7404_MTG_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN_7404,MTG,BBN_7404_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN003.32201,SSC,BBN003_32201_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN003.32201,SSC,BBN003_32201_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN003.32235,SSC,BBN003_32235_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN003.32235,SSC,BBN003_32235_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN003.32295,MTG,BBN003_32295_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN003.32295,MTG,BBN003_32295_MTG_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN003.26333,SSC,BBN003_26333_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN003.26333,SSC,BBN003_26333_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN003.28342,SSC,BBN003_28342_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN003.28342,SSC,BBN003_28342_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN_7545,MTG,BBN_7545_MTG_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN_7545,MTG,BBN_7545_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN_24279,SSC,BBN_24279_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN_24279,SSC,BBN_24279_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN_7115,MTG,BBN_7115_MTG_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN_7115,MTG,BBN_7115_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN_14801,SSC,BBN_14801_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN_14801,SSC,BBN_14801_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN_7115,SSC,BBN_7115_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN_7115,SSC,BBN_7115_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN_7404,SSC,BBN_7404_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN_7404,SSC,BBN_7404_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN_14801,MTG,BBN_14801_MTG_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN_14801,MTG,BBN_14801_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN_19214,MTG,BBN_19214_MTG_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN_19214,MTG,BBN_19214_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN_7403,SSC,BBN_7403_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN_7403,SSC,BBN_7403_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN003.33729,SSC,BBN003_33729_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN003.33729,SSC,BBN003_33729_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN003.26951,SSC,BBN003_26951_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN003.26951,SSC,BBN003_26951_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN_19214,SSC,BBN_19214_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN_19214,SSC,BBN_19214_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN003.32849,SSC,BBN003_32849_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN003.32849,SSC,BBN003_32849_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN_7617,SSC,BBN_7617_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN_7617,SSC,BBN_7617_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN003.34161,SSC,BBN003_34161_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001500,BBN003.34161,SSC,BBN003_34161_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN003.26951,MTG,BBN003_26951_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001500,BBN003.26951,MTG,BBN003_26951_MTG_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001509,BBN_9984,MTG,BBN_9984_MTG_S4,bulkRNAseq,N/A
TREM2,IGFQ001529,BBN_21005,MTG,BBN_21005_MTG_S3,multiome,N/A
TREM2,IGFQ001529,BBN_18399,MTG,BBN_18399_MTG_S3,multiome,N/A
TREM2,IGFQ001529,BBN002.30035,MTG,BBN002_30035_MTG_S3,multiome,N/A
TREM2,IGFQ001529,BBN_16213,MTG,BBN_16213_MTG_S3,multiome,N/A
TREM2,IGFQ001529,BBN002.29089,MTG,BBN002_29089_MTG_S3,multiome,N/A
TREM2,IGFQ001529,BBN002.29170,MTG,BBN002_29170_MTG_S4,multiome,N/A
TREM2,IGFQ001546,BBN_9980,MTG,BBN_9980_MTG_S3,multiome,N/A
TREM2,IGFQ001546,BBN_9984,MTG,BBN_9984_MTG_S5,multiome,N/A
TREM2,IGFQ001546,BBN_9980,PFC,BBN_9980_PFC_S2,multiome,N/A
TREM2,IGFQ001546,BBN_9980,MTG,BBN_9980_MTG_S4,multiome,N/A
TREM2,IGFQ001546,BBN_9984,MTG,BBN_9984_MTG_S6,multiome,N/A
TREM2,IGFQ001546,BBN_9980,PFC,BBN_9980_PFC_S3,multiome,N/A
TREM2,IGFQ001651,BBN_7540,SSC,BBN_7540_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN003.32205,SSC,BBN003_32205_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_24330,MTG,BBN_24330_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN003.32185,MTG,BBN003_32185_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN003.32212,MTG,BBN003_32212_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN003.32196,MTG,BBN003_32196_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_9786,MTG,BBN_9786_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651, BBN004.29828,MTG,BBN004_29828_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651, BBN_24659,MTG,BBN_24659_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN003.32235,MTG,BBN003_32235_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_7519,MTG,BBN_7519_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN003.32205,MTG,BBN003_32205_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_11449,MTG,BBN_11449_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN003.32227,MTG,BBN003_32227_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN003.32228,MTG,BBN003_32228_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN003.33729,MTG,BBN003_33729_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651, BBN004.29074,MTG,BBN004_29074_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_9796,MTG,BBN_9796_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN003.32212,SSC,BBN003_32212_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_18813,SSC,BBN_18813_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_10611,SSC,BBN_10611_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_7554,MTG,BBN_7554_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN002.29170,SSC,BBN002_29170_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN002.26094,MTG,BBN002_26094_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_24370,MTG,BBN_24370_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_24330,SSC,BBN_24330_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_24330,SSC,BBN_24330_SSC_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001651,BBN002.26094,SSC,BBN002_26094_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_9939,MTG,BBN_9939_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_9939,MTG,BBN_9939_MTG_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001651,BBN_24610,MTG,BBN_24610_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_9786,MTG,BBN_9786_MTG_UNS_S1,snRNAseq,UNS
TREM2,IGFQ001651,BBN003.32184,MTG,BBN003_32184_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN005.29520,SSC,BBN005_29520_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_10611,MTG,BBN_10611_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_8051,MTG,BBN_8051_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_18399,MTG,BBN_18399_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_21792,MTG,BBN_21792_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_21005,MTG,BBN_21005_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN002.29170,MTG,BBN002_29170_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_10099,MTG,BBN_10099_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN002.30035,MTG,BBN002_30035_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_16213,MTG,BBN_16213_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN002.29089,MTG,BBN002_29089_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_9984,MTG,BBN_9984_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_24578,MTG,BBN_24578_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN002.30035,SSC,BBN002_30035_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_18813,MTG,BBN_18813_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN_21005,SSC,BBN_21005_SSC_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001651,BBN002.30127,MTG,BBN002_30127_MTG_GEN_S1,snRNAseq,GEN
TREM2,IGFQ001663,BBN_9984,PFC,BBN_9984_PFC_S2,multiome,N/A
TREM2,IGFQ001663,BBN_9984,EC,BBN_9984_EC_S2,multiome,N/A
TREM2,IGFQ001663,BBN_7617,MTG,BBN_7617_MTG_S2,multiome,GEN
TREM2,IGFQ001663,BBN_9984,PFC,BBN_9984_PFC_S3,multiome,N/A
TREM2,IGFQ001663,BBN_9984,EC,BBN_9984_EC_S3,multiome,N/A
