,Sample_ID,Sample_Name,I7_Index_ID,Brain region,RNAseq/ATACseq,Enrichment,Sample_Name_original,Sample_Name_normalized
58,IGF123551,BBN006-35453-FC,S767,PFC,,,BBN006-35453-FC,BBN006_35453
59,IGF123552,BBN006-35560-MTEMP,S738,MTEMP,,,BBN006-35560-MTEMP,BBN006_35560
60,IGF123553,BBN002-30840-MTEMP,S766,MTEMP,,,BBN002-30840-MTEMP,BBN002_30840
61,IGF123554,BBN006-36170-MTEMP,S711,MTEMP,,,BBN006-36170-MTEMP,BBN006_36170
62,IGF123555,S18-105-ITG,S759,ITG,,,S18-105-ITG,S18_105
63,IGF123556,S15-074-ITG,S721,ITG,,,S15-074-ITG,S15_074
64,IGF123557,BBN-2414-T5,S723,,,,BBN-2414-T5,BBN_2414_T5
65,IGF123558,BBN-2569-IF-,S707,,,,BBN-2569-IF-,BBN_2569_IF
66,IGF123559,PDC165-CLC5,S745,,,,PDC165-CLC5,PDC165_CLC5
0,IGF124732,BBN-21005-MTG,SI-TT-A11,MTG,RNAseq,,BBN-21005-MTG,BBN_21005
1,IGF124733,BBN-18399-MTG,SI-TT-B4,MTG,RNAseq,,BBN-18399-MTG,BBN_18399
2,IGF124734,BBN002-30035-MTG,SI-TT-B5,MTG,RNAseq,,BBN002-30035-MTG,BBN002_30035
3,IGF124735,BBN-16213-MTG,SI-TT-A10,MTG,RNAseq,,BBN-16213-MTG,BBN_16213
4,IGF124736,BBN002-29089-MTG,SI-TT-B6,MTG,RNAseq,,BBN002-29089-MTG,BBN002_29089
5,IGF124737,BBN002-29170-MTG,SI-TT-B11,MTG,RNAseq,,BBN002-29170-MTG,BBN002_29170
0,IGF124738,BBN-21005-MTGa_1,SI-NA-A9,MTG,ATACseq,,BBN-21005-MTGa_1,BBN_21005a
4,IGF124739,BBN-18399-MTGa_1,SI-NA-B1,MTG,ATACseq,,BBN-18399-MTGa_1,BBN_18399a
8,IGF124740,BBN002-30035-MTGa_1,SI-NA-B3,MTG,ATACseq,,BBN002-30035-MTGa_1,BBN002_30035a
12,IGF124741,BBN-16213-MTGa_1,SI-NA-A8,MTG,ATACseq,,BBN-16213-MTGa_1,BBN_16213a
16,IGF124742,BBN002-29089-MTGa_1,SI-NA-B2,MTG,ATACseq,,BBN002-29089-MTGa_1,BBN002_29089a
20,IGF124743,BBN002-29170-MTGa_1,SI-NA-B4,MTG,ATACseq,,BBN002-29170-MTGa_1,BBN002_29170a
0,IGF122081,20185945-SSC,S762,SSC,,,20185945-SSC,20185945
1,IGF122082,20152915-SSC,S713,SSC,,,20152915-SSC,20152915
2,IGF122083,19960052-SSC,S736,SSC,,,19960052-SSC,19960052
3,IGF122084,P7-09-MTG,S709,MTG,,,P7-09-MTG,P7_09
4,IGF122085,19950136-EC,S732,EC,,,19950136-EC,19950136
5,IGF122086,A138-12-EC,S774,EC,,,A138-12-EC,A138_12
6,IGF122087,20131157-SSC,S747,SSC,,,20131157-SSC,20131157
7,IGF122088,20130871-SSC,S794,SSC,,,20130871-SSC,20130871
8,IGF122089,20030099-EC,S729,EC,,,20030099-EC,20030099
9,IGF122090,20060093-EC,S777,EC,,,20060093-EC,20060093
10,IGF122091,20196919-EC,S772,EC,,,20196919-EC,20196919
11,IGF122092,20060099-SSC,S725,SSC,,,20060099-SSC,20060099
12,IGF122093,DPM13-19-EC,S755,EC,,,DPM13-19-EC,DPM13_19
13,IGF122094,19980098-EC,S760,EC,,,19980098-EC,19980098
14,IGF122095,NP08-166-MTG,S716,MTG,,,NP08-166-MTG,NP08_166
15,IGF122096,19930148-EC,S708,EC,,,19930148-EC,19930148
16,IGF122097,SD030-07-MTG,S702,MTG,,,SD030-07-MTG,SD030_07
17,IGF122098,19910334-EC,S796,EC,,,19910334-EC,19910334
18,IGF122099,20110272-MTG,S757,MTG,,,20110272-MTG,20110272
19,IGF122100,20060093-MTG,S783,MTG,,,20060093-MTG,20060093
20,IGF122101,20130400-SSC,S722,SSC,,,20130400-SSC,20130400
21,IGF122102,P59-03-MTG,S710,MTG,,,P59-03-MTG,P59_03
22,IGF122103,DPM13-19-MTG,S770,MTG,,,DPM13-19-MTG,DPM13_19
23,IGF122104,20100742-EC,S734,EC,,,20100742-EC,20100742
24,IGF122105,20050033-SSC,S763,SSC,,,20050033-SSC,20050033
25,IGF122106,20130400-EC,S797,EC,,,20130400-EC,20130400
26,IGF122107,20030099-MTG,S735,MTG,,,20030099-MTG,20030099
27,IGF122108,20131157-EC,S727,EC,,,20131157-EC,20131157
28,IGF122109,20152915-MTG,S742,MTG,,,20152915-MTG,20152915
29,IGF122110,19980098-MTG,S795,MTG,,,19980098-MTG,19980098
30,IGF122111,A013-03-EC,S749,EC,,,A013-03-EC,A013_03
31,IGF122112,19910006-SSC,S773,SSC,,,19910006-SSC,19910006
32,IGF122113,DPM13-42-MTG,S769,MTG,,,DPM13-42-MTG,DPM13_42
33,IGF122114,19960064-EC,S752,EC,,,19960064-EC,19960064
34,IGF122115,20185910-EC,S704,EC,,,20185910-EC,20185910
35,IGF122116,20185945-EC,S715,EC,,,20185945-EC,20185945
36,IGF122117,A153-12-SSC,S753,SSC,,,A153-12-SSC,A153_12
37,IGF122118,A253-12-MTG,S758,MTG,,,A253-12-MTG,A253_12
38,IGF122119,20130400-MTG,S784,MTG,,,20130400-MTG,20130400
39,IGF122120,DPM13-19-SSC,S714,SSC,,,DPM13-19-SSC,DPM13_19
40,IGF122121,20196909-EC,S771,EC,,,20196909-EC,20196909
41,IGF122122,BC454-945-MTG,S779,MTG,,,BC454-945-MTG,BC454_945
42,IGF122123,A163-15-SSC,S788,SSC,,,A163-15-SSC,A163_15
43,IGF122124,19950136-SSC,S739,SSC,,,19950136-SSC,19950136
44,IGF122125,20110272-EC,S737,EC,,,20110272-EC,20110272
45,IGF122126,20141901-EC,S728,EC,,,20141901-EC,20141901
46,IGF122127,20110272-SSC,S780,SSC,,,20110272-SSC,20110272
47,IGF122128,20050102-SSC,S761,SSC,,,20050102-SSC,20050102
48,IGF122129,20129990-EC,S712,EC,,,20129990-EC,20129990
49,IGF122130,DPM13-42-EC,S786,EC,,,DPM13-42-EC,DPM13_42
50,IGF122131,A023-03-SSC,S743,SSC,,,A023-03-SSC,A023_03
51,IGF122132,A301-10-MTG,S775,MTG,,,A301-10-MTG,A301_10
52,IGF122133,20030099-SSC,S750,SSC,,,20030099-SSC,20030099
53,IGF122134,19920077-SSC,S706,SSC,,,19920077-SSC,19920077
54,IGF122135,19920200-EC,S724,EC,,,19920200-EC,19920200
55,IGF122136,19910006-EC,S790,EC,,,19910006-EC,19910006
56,IGF122137,20060099-MTG,S791,MTG,,,20060099-MTG,20060099
57,IGF122138,P3-09-MTG,S726,MTG,,,P3-09-MTG,P3_09
58,IGF122139,20196928-EC,S767,EC,,,20196928-EC,20196928
59,IGF122140,19920035-EC,S738,EC,,,19920035-EC,19920035
60,IGF122141,19960052-MTG,S766,MTG,,,19960052-MTG,19960052
61,IGF122142,19920179-EC,S711,EC,,,19920179-EC,19920179
62,IGF122143,20129990-SSC,S759,SSC,,,20129990-SSC,20129990
63,IGF122144,20050102-MTG,S721,MTG,,,20050102-MTG,20050102
64,IGF122145,A187-96-SSC,S723,SSC,,,A187-96-SSC,A187_96
65,IGF122146,19930222-EC,S707,EC,,,19930222-EC,19930222
66,IGF122147,A163-15-EC,S745,EC,,,A163-15-EC,A163_15
67,IGF122148,20000034-EC,S746,EC,,,20000034-EC,20000034
68,IGF122149,20196928-MTG,S778,MTG,,,20196928-MTG,20196928
69,IGF122150,A153-12-MTG,S781,MTG,,,A153-12-MTG,A153_12
70,IGF122151,19960052-EC,S740,EC,,,19960052-EC,19960052
71,IGF122152,19920035-SSC,S792,SSC,,,19920035-SSC,19920035
72,IGF122153,20150975-EC,S705,EC,,,20150975-EC,20150975
73,IGF122154,20060093-SSC,S701,SSC,,,20060093-SSC,20060093
74,IGF122155,A163-15MTG,S754,MTG,,,A163-15MTG,A163_15
75,IGF122156,DPM13-42-SSC,S798,SSC,,,DPM13-42-SSC,DPM13_42
76,IGF122157,A013-03-MTG,S751,MTG,,,A013-03-MTG,A013_03
77,IGF122158,20130325-EC,S717,EC,,,20130325-EC,20130325
78,IGF122159,20131157-MTG,S765,MTG,,,20131157-MTG,20131157
79,IGF122160,20152915-EC,S793,EC,,,20152915-EC,20152915
80,IGF122161,19930222-SSC,S719,SSC,,,19930222-SSC,19930222
81,IGF122162,A187-96-EC,S744,EC,,,A187-96-EC,A187_96
82,IGF122163,A064-13-EC,S785,EC,,,A064-13-EC,A064_13
83,IGF122164,A253-12-EC,S718,EC,,,A253-12-EC,A253_12
84,IGF122165,A074-05-EC,S748,EC,,,A074-05-EC,A074_05
85,IGF122166,A329-10-SSC,S768,SSC,,,A329-10-SSC,A329_10
86,IGF122167,20196919-SSC,S741,SSC,,,20196919-SSC,20196919
87,IGF122168,20174902-MTG,S720,MTG,,,20174902-MTG,20174902
88,IGF122169,A301-10-EC,S731,EC,,,A301-10-EC,A301_10
89,IGF122170,A248-10-MTG,S789,MTG,,,A248-10-MTG,A248_10
90,IGF122171,19920001-EC,S787,EC,,,19920001-EC,19920001
91,IGF122172,20196928-SSC,S703,SSC,,,20196928-SSC,20196928
92,IGF122173,20196919-MTG,S776,MTG,,,20196919-MTG,20196919
93,IGF122174,A220-11-EC,S782,EC,,,A220-11-EC,A220_11
94,IGF122175,20185935-EC,S730,EC,,,20185935-EC,20185935
95,IGF122176,A166-04-EC,S733,EC,,,A166-04-EC,A166_04
0,IGF122177,20110476-EC,S723,EC,,,20110476-EC,20110476
1,IGF122178,NP12-134-MTG,S707,MTG,,,NP12-134-MTG,NP12_134
2,IGF122179,B509-962-EC,S745,EC,,,B509-962-EC,B509_962
3,IGF122180,A029-04-EC,S746,EC,,,A029-04-EC,A029_04
4,IGF122181,19891053-EC,S778,EC,,,19891053-EC,19891053
5,IGF122182,20150975-SSC,S781,SSC,,,20150975-SSC,20150975
6,IGF122183,20141901-SSC,S740,SSC,,,20141901-SSC,20141901
7,IGF122184,20185945-MTG,S792,MTG,,,20185945-MTG,20185945
8,IGF122185,19950030-EC,S705,EC,,,19950030-EC,19950030
9,IGF122186,A253-12-EC,S701,EC,,,A253-12-EC,A253_12
10,IGF122187,20174902-EC,S754,EC,,,20174902-EC,20174902
11,IGF122188,19960064-MTG,S798,MTG,,,19960064-MTG,19960064
12,IGF122189,A065-02-MTG,S751,MTG,,,A065-02-MTG,A065_02
13,IGF122190,A153-12-EC,S717,EC,,,A153-12-EC,A153_12
14,IGF122191,20150975-MTG,S765,MTG,,,20150975-MTG,20150975
15,IGF122192,A023-02-EC,S793,EC,,,A023-02-EC,A023_02
16,IGF122193,A301-10-SSC,S719,SSC,,,A301-10-SSC,A301_10
17,IGF122194,20174902-SSC,S744,SSC,,,20174902-SSC,20174902
18,IGF122195,19920194-EC,S785,EC,,,19920194-EC,19920194
19,IGF122196,NP11-114-MTG,S718,MTG,,,NP11-114-MTG,NP11_114
20,IGF122197,A354-16-MTG,S748,MTG,,,A354-16-MTG,A354_16
21,IGF122198,A023-02-MTG-,S768,MTG,,,A023-02-MTG-,A023_02
22,IGF122199,A253-12-SSC-,S741,SSC,,,A253-12-SSC-,A253_12
23,IGF122200,20050102-EC,S720,EC,,,20050102-EC,20050102
24,IGF122201,A248-10-SSC,S731,SSC,,,A248-10-SSC,A248_10
25,IGF122202,A065-02-EC,S789,EC,,,A065-02-EC,A065_02
26,IGF122203,20110476-SSC,S787,SSC,,,20110476-SSC,20110476
27,IGF122204,20050033-EC,S703,EC,,,20050033-EC,20050033
28,IGF122205,19891015-EC,S776,EC,,,19891015-EC,19891015
29,IGF122206,P19-06-MTG,S782,MTG,,,P19-06-MTG,P19_06
30,IGF122207,NP16-088-MTG,S730,MTG,,,NP16-088-MTG,NP16_088
31,IGF122208,19960064-MTG-2,S733,MTG,,,19960064-MTG-2,19960064
32,IGF122209,20196909-SSC,S762,SSC,,,20196909-SSC,20196909
33,IGF122210,20185910-SSC,S713,SSC,,,20185910-SSC,20185910
34,IGF122211,20000034-MTG,S736,MTG,,,20000034-MTG,20000034
35,IGF122212,A048-13-SSC,S709,SSC,,,A048-13-SSC,A048_13
36,IGF122213,NP12-098-MTG,S732,MTG,,,NP12-098-MTG,NP12_098
37,IGF122214,NP14-128-MTG,S774,MTG,,,NP14-128-MTG,NP14_128
38,IGF122215,BC454-945-SSC,S747,SSC,,,BC454-945-SSC,BC454_945
39,IGF122216,20110477-SSC-2,S794,SSC,,,20110477-SSC-2,20110477
40,IGF122217,A319-11-EC,S729,EC,,,A319-11-EC,A319_11
41,IGF122218,19910318-EC,S777,EC,,,19910318-EC,19910318
42,IGF122219,20150712-EC,S772,EC,,,20150712-EC,20150712
43,IGF122220,20141901-MTG,S725,MTG,,,20141901-MTG,20141901
44,IGF122221,A048-13-MTG,S755,MTG,,,A048-13-MTG,A048_13
45,IGF122222,A065-02-MTG-2,S760,MTG,,,A065-02-MTG-2,A065_02
46,IGF122223,20050033-MTG-,S716,MTG,,,20050033-MTG-,20050033
47,IGF122224,BC454-945-EC,S708,EC,,,BC454-945-EC,BC454_945
48,IGF122225,19950136-MTG,S702,MTG,,,19950136-MTG,19950136
49,IGF122226,19980098-SSC,S796,SSC,,,19980098-SSC,19980098
50,IGF122227,DPM16-44-EC,S757,EC,,,DPM16-44-EC,DPM16_44
51,IGF122228,A210-05-EC,S783,EC,,,A210-05-EC,A210_05
52,IGF122229,19920077-EC,S722,EC,,,19920077-EC,19920077
53,IGF122230,20110477-SSC,S710,SSC,,,20110477-SSC,20110477
54,IGF122231,A187-96-MTG,S770,MTG,,,A187-96-MTG,A187_96
55,IGF122232,A048-13-EC,S734,EC,,,A048-13-EC,A048_13
56,IGF122233,19930154-SSC,S763,SSC,,,19930154-SSC,19930154
57,IGF122234,A029-04-SSC,S797,SSC,,,A029-04-SSC,A029_04
58,IGF122235,A329-10-EC,S735,EC,,,A329-10-EC,A329_10
59,IGF122236,A029-04-MTG,S727,MTG,,,A029-04-MTG,A029_04
60,IGF122237,20060099-EC,S742,EC,,,20060099-EC,20060099
61,IGF122238,19930154-EC,S795,EC,,,19930154-EC,19930154
62,IGF122239,A248-10-EC,S749,EC,,,A248-10-EC,A248_10
63,IGF122240,A329-10-MTG,S773,MTG,,,A329-10-MTG,A329_10
64,IGF122241,20110476-MTG,S769,MTG,,,20110476-MTG,20110476
65,IGF122242,20110137-SSC,S752,SSC,,,20110137-SSC,20110137
66,IGF122243,20185935-SSC,S704,SSC,,,20185935-SSC,20185935
67,IGF122244,19910334-SSC,S715,SSC,,,19910334-SSC,19910334
68,IGF122245,20150712-SSC,S753,SSC,,,20150712-SSC,20150712
69,IGF122246,A013-03-SSC,S758,SSC,,,A013-03-SSC,A013_03
70,IGF122247,C101-FC,S784,PFC,,,C101-FC,C101
71,IGF122248,CO83-FC,S714,PFC,,,CO83-FC,CO83
72,IGF122249,PDC50-FC,S771,PFC,,,PDC50-FC,PDC50
73,IGF122250,PDC98-FC,S779,PFC,,,PDC98-FC,PDC98
74,IGF122251,PDC29-FC,S788,PFC,,,PDC29-FC,PDC29
75,IGF122252,PDC91-FC,S739,PFC,,,PDC91-FC,PDC91
76,IGF122253,PD1116-FC,S737,PFC,,,PD1116-FC,PD1116
77,IGF122254,PD574-FC,S728,PFC,,,PD574-FC,PD574
78,IGF122255,C084-FC,S780,PFC,,,C084-FC,C084
79,IGF122256,C085-FC,S761,PFC,,,C085-FC,C085
0,IGF120767,19960064-SSC_1,SI-GA-A1,SSC,,,19960064-SSC_1,19960064
4,IGF120768,A319-11-MTG_1,SI-GA-H8,MTG,,,A319-11-MTG_1,A319_11
8,IGF120769,19960064-MTG_1,SI-GA-H9,MTG,,,19960064-MTG_1,19960064
12,IGF120770,A166-04-MTG_1,SI-GA-G10,MTG,,,A166-04-MTG_1,A166_04
16,IGF120771,19920179-EC_1,SI-GA-B5,EC,,,19920179-EC_1,19920179
20,IGF120772,19891053-EC_1,SI-GA-B6,EC,,,19891053-EC_1,19891053
24,IGF120773,20110137-MTG_1,SI-GA-C4,MTG,,,20110137-MTG_1,20110137
28,IGF120774,DPM16-44-MTG_1,SI-GA-B9,MTG,,,DPM16-44-MTG_1,DPM16_44
32,IGF120775,19891015-MTG_1,SI-GA-H11,MTG,,,19891015-MTG_1,19891015
36,IGF120776,19920179-MTG_1,SI-GA-H1,MTG,,,19920179-MTG_1,19920179
40,IGF120777,19920194-MTG_1,SI-GA-G5,MTG,,,19920194-MTG_1,19920194
44,IGF120778,A138-12-MTG_1,SI-GA-G6,MTG,,,A138-12-MTG_1,A138_12
48,IGF120779,A064-1-MTG_1,SI-GA-G4,MTG,,,A064-1-MTG_1,A064_1
52,IGF120780,A074-05-SSC_1,SI-GA-G2,SSC,,,A074-05-SSC_1,A074_05
56,IGF120781,P23-07-MTG_1,SI-GA-G3,MTG,,,P23-07-MTG_1,P23_07
60,IGF120782,19920001-SSC_1,SI-GA-F9,SSC,,,19920001-SSC_1,19920001
64,IGF120783,A220-11-MTG_1,SI-GA-F10,MTG,,,A220-11-MTG_1,A220_11
68,IGF120784,A013-03-SSC_1,SI-GA-F7,SSC,,,A013-03-SSC_1,A013_03
72,IGF120785,A210-05-SSC_1,SI-GA-F8,SSC,,,A210-05-SSC_1,A210_05
76,IGF120786,19920194-SSC_1,SI-GA-F5,SSC,,,19920194-SSC_1,19920194
80,IGF120787,19950030-MTG_1,SI-GA-F6,MTG,,,19950030-MTG_1,19950030
84,IGF120788,19910318-SSC_1,SI-GA-C10,SSC,,,19910318-SSC_1,19910318
88,IGF120789,A064-13-SSC_1,SI-GA-E7,SSC,,,A064-13-SSC_1,A064_13
92,IGF120790,20130325-SSC_1,SI-GA-E5,SSC,,,20130325-SSC_1,20130325
96,IGF120791,19891053-SSC_1,SI-GA-D11,SSC,,,19891053-SSC_1,19891053
100,IGF120792,19950030-SSC_1,SI-GA-B12,SSC,,,19950030-SSC_1,19950030
104,IGF120793,NP13-012-MTG_1,SI-GA-C2,MTG,,,NP13-012-MTG_1,NP13_012
108,IGF120794,NP12-162-MTG_1,SI-GA-B10,MTG,,,NP12-162-MTG_1,NP12_162
112,IGF120795,19891015-SSC_1,SI-GA-B8,SSC,,,19891015-SSC_1,19891015
0,IGF128391,BBN006-34151-FC,SI-TT-E4,PFC,RNAseq,,BBN006-34151-FC,BBN006_34151
1,IGF128392,BBN006-35453-FC,SI-TT-E5,PFC,RNAseq,,BBN006-35453-FC,BBN006_35453
2,IGF128393,BBN006-36107-FC,SI-TT-E6,PFC,RNAseq,,BBN006-36107-FC,BBN006_36107
3,IGF128394,BBN-20618-FC,SI-TT-E8,PFC,RNAseq,,BBN-20618-FC,BBN_20618
4,IGF128395,BBN002-32844-FC,SI-TT-E9,PFC,RNAseq,,BBN002-32844-FC,BBN002_32844
5,IGF128396,BBN006-35513-FC,SI-TT-E10,PFC,RNAseq,,BBN006-35513-FC,BBN006_35513
6,IGF128397,BBN002-35951-FC,SI-TT-F3,PFC,RNAseq,,BBN002-35951-FC,BBN002_35951
7,IGF128398,BBN006-35417-EC,SI-TT-F6,EC,RNAseq,,BBN006-35417-EC,BBN006_35417
8,IGF128399,BBN002-28858-FC,SI-TT-F7,PFC,RNAseq,,BBN002-28858-FC,BBN002_28858
9,IGF128400,BBN-9984-FC,SI-TT-F8,PFC,RNAseq,,BBN-9984-FC,BBN_9984
10,IGF128401,BBN002-36130-FC,SI-TT-G3,PFC,RNAseq,,BBN002-36130-FC,BBN002_36130
11,IGF128402,BBN001-30883-FC,SI-TT-G5,PFC,RNAseq,,BBN001-30883-FC,BBN001_30883
12,IGF128403,BBN006-30889-FC,SI-TT-F9,PFC,RNAseq,,BBN006-30889-FC,BBN006_30889
13,IGF128404,BBN002-30480-FC,SI-TT-F10,PFC,RNAseq,,BBN002-30480-FC,BBN002_30480
14,IGF128405,BBN002-26278-FC,SI-TT-F11,PFC,RNAseq,,BBN002-26278-FC,BBN002_26278
15,IGF128406,BBN006-36102-FC,SI-TT-F12,PFC,RNAseq,,BBN006-36102-FC,BBN006_36102
16,IGF128407,BBN006-36170-FC,SI-TT-G1,PFC,RNAseq,,BBN006-36170-FC,BBN006_36170
17,IGF128408,BBN001-35182-FC,SI-TT-G2,PFC,RNAseq,,BBN001-35182-FC,BBN001_35182
18,IGF128409,BBN006-30165-FC,SI-TT-G7,PFC,RNAseq,,BBN006-30165-FC,BBN006_30165
19,IGF128410,BBN006-35560-FC,SI-TT-H3,PFC,RNAseq,,BBN006-35560-FC,BBN006_35560
20,IGF128411,BBN-20593-FC,SI-TT-G9,PFC,RNAseq,,BBN-20593-FC,BBN_20593
21,IGF128412,BBN002-36130-EC,SI-TT-G10,EC,RNAseq,,BBN002-36130-EC,BBN002_36130
22,IGF128413,BBN006-35417-FC,SI-TT-G12,PFC,RNAseq,,BBN006-35417-FC,BBN006_35417
23,IGF128414,BBN002-32628-FC,SI-TT-H1,PFC,RNAseq,,BBN002-32628-FC,BBN002_32628
24,IGF128415,BBN-9984-EC,SI-TT-H2,EC,RNAseq,,BBN-9984-EC,BBN_9984
25,IGF128416,BBN-20618-EC,SI-TT-H4,EC,RNAseq,,BBN-20618-EC,BBN_20618
26,IGF128417,BBN-22621-FC,SI-TT-H5,PFC,RNAseq,,BBN-22621-FC,BBN_22621
27,IGF128418,RSMG12-4,SI-TT-H10,,RNAseq,,RSMG12-4,RSMG12
28,IGF128419,BBN-7617-MTG-ENR,SI-TT-H11,MTG,RNAseq,GEN,BBN-7617-MTG-ENR,BBN_7617
0,IGF128420,BBN006-34151-FC_1,SI-NA-D9,PFC,ATACseq,,BBN006-34151-FC_1,BBN006_34151
4,IGF128421,BBN006-35453-FC_1,SI-NA-D10,PFC,ATACseq,,BBN006-35453-FC_1,BBN006_35453
8,IGF128422,BBN006-36107-FC_1,SI-NA-D11,PFC,ATACseq,,BBN006-36107-FC_1,BBN006_36107
12,IGF128423,BBN-20618-FC_1,SI-NA-D12,PFC,ATACseq,,BBN-20618-FC_1,BBN_20618
